Method	outcome	b	se	pval	Q	Q_pval	intercept	intercept_pval	snp_r2.outcome	steiger_pval
Inverse variance weighted	6mm index of best keratometry results (right)	-0.040800931311941	0.0543369666942033	0.45272056053269	25.4323428711482	0.0854423847638261	NA	NA	0.000310910493981672	9.50318484976214e-29
MR Egger	6mm index of best keratometry results (right)	0.0227408035058325	0.126656264849303	0.859762025715057	24.9467735890622	0.0707693037651124	-0.00160400451835308	0.584530582714836	0.000310910493981672	9.50318484976214e-29
Simple mode	6mm index of best keratometry results (right)	-0.136536485256353	0.12157506714007	0.277021402415579	NA	NA	NA	NA	0.000310910493981672	9.50318484976214e-29
Weighted median	6mm index of best keratometry results (right)	-0.0819268887280185	0.0674662505966217	0.22461835843365	NA	NA	NA	NA	0.000310910493981672	9.50318484976214e-29
Weighted mode	6mm index of best keratometry results (right)	-0.100762986303514	0.103558074668549	0.344191050820117	NA	NA	NA	NA	0.000310910493981672	9.50318484976214e-29
Inverse variance weighted	3mm index of best keratometry results (left)	-0.031832484197423	0.041219269578838	0.439953396597601	24.0178328434896	0.118951247321549	NA	NA	0.000258294858538655	4.48154660703534e-34
MR Egger	3mm index of best keratometry results (left)	-0.00576031082999287	0.0968349926967096	0.953301798953402	23.8839990113368	0.0920688775374015	-0.000657754421005958	0.768469645737234	0.000258294858538655	4.48154660703534e-34
Simple mode	3mm index of best keratometry results (left)	-0.0809069880734861	0.0921018511093974	0.391946012766468	NA	NA	NA	NA	0.000258294858538655	4.48154660703534e-34
Weighted median	3mm index of best keratometry results (left)	-0.0447981302356359	0.0498354945686809	0.368695194420146	NA	NA	NA	NA	0.000258294858538655	4.48154660703534e-34
Weighted mode	3mm index of best keratometry results (left)	-0.0462120764093887	0.0762350778980216	0.552405129640561	NA	NA	NA	NA	0.000258294858538655	4.48154660703534e-34
Inverse variance weighted	6mm index of best keratometry results (left)	-0.0156902835896665	0.0572218248653723	0.783930132952072	31.4941605500178	0.0173778760266033	NA	NA	0.000380048700676728	3.50153055821396e-26
MR Egger	6mm index of best keratometry results (left)	-0.02580751682636	0.134569647684325	0.850328717934722	31.4803962518448	0.0116759594491939	0.000255570125035225	0.934379753117989	0.000380048700676728	3.50153055821396e-26
Simple mode	6mm index of best keratometry results (left)	-0.0297634779336894	0.107202090141898	0.784637670474584	NA	NA	NA	NA	0.000380048700676728	3.50153055821396e-26
Weighted median	6mm index of best keratometry results (left)	-0.00495790382358549	0.0611808742820761	0.935412666407382	NA	NA	NA	NA	0.000380048700676728	3.50153055821396e-26
Weighted mode	6mm index of best keratometry results (left)	-0.0166527898710462	0.0963161310340403	0.864774059883172	NA	NA	NA	NA	0.000380048700676728	3.50153055821396e-26
Inverse variance weighted	3mm index of best keratometry results (right)	-0.0964186582505078	0.0378479695453619	0.0108490000153581	14.833593419366	0.607466428889046	NA	NA	0.000222821424376892	8.45250656752038e-36
MR Egger	3mm index of best keratometry results (right)	-0.00805950670331838	0.0865244676406034	0.926943076160093	13.543979824632	0.632645268347662	-0.00222842659379383	0.272844403605652	0.000222821424376892	8.45250656752038e-36
Simple mode	3mm index of best keratometry results (right)	-0.0707898062725278	0.0852713334062775	0.417948356813741	NA	NA	NA	NA	0.000222821424376892	8.45250656752038e-36
Weighted median	3mm index of best keratometry results (right)	-0.0933340052424908	0.0528844692035958	0.0775862776028589	NA	NA	NA	NA	0.000222821424376892	8.45250656752038e-36
Weighted mode	3mm index of best keratometry results (right)	-0.0873668539943298	0.074022951192313	0.254145995400322	NA	NA	NA	NA	0.000222821424376892	8.45250656752038e-36
